COUNT    | LINE
     591 | 905938
     590 | 905688
     589 | 905573
     587 | 416251
     587 | 519746
     583 | 519537
     579 | 416494
     576 | 905371
     575 | 519823
     574 | 905584
     573 | 519658
     573 | 905632
     571 | 416538
     567 | 416497
     565 | 519421
     565 | 905842
     563 | 905823
     560 | 416622
     560 | 705739
     560 | 905702
     559 | 905639
     557 | 416289
     557 | 416297
     557 | 519758
     557 | 519942
     556 | 416321
     556 | 905780
     555 | 905271
     555 | 905712
     555 | 905726
     552 | 416223
     551 | 519751
     551 | 647349
     549 | 905693
     548 | 519941
     547 | 905875
     546 | 705722
     546 | 905990
     543 | 905507
     543 | 905568
     539 | 416281
     538 | 519570
     538 | 705719
     538 | 905522
     538 | 905654
     532 | 416487
     532 | 905502
     530 | 519624
     530 | 905812
     529 | 519749
     525 | 416492
     521 | 905525
     520 | 416398
     520 | 416789
     515 | 905528
     513 | 905527
     512 | 416635
     512 | 416744
     511 | 416481
     508 | 905721
     504 | 905843
     502 | 905529
     499 | 289656
     498 | 905542
     496 | 905893
     495 | 416485
     495 | 416499
     494 | 416285
     493 | 705503
     492 | 416785
     492 | 905833
     489 | 416693
     489 | 905533
     487 | 416483
     486 | 519650
     485 | 519747
     485 | 905996
     484 | 905837
     483 | 905569
     481 | 905465
     479 | 905277
     479 | 905764
     476 | 905338
     476 | 905714
     475 | 416489
     474 | 905434
     472 | 416469
     472 | 905534
     470 | 705434
     468 | 519837
     467 | 416447
     466 | 905829
     464 | 416626
     463 | 416614
     463 | 905763
     462 | 416429
     459 | 519571
     459 | 905891
     455 | 416253
     455 | 905272
     455 | 905436
     455 | 905778
     454 | 905953
     452 | 416498
     451 | 705327
     451 | 905276
     451 | 905882
     449 | 905849
     448 | 416747
     448 | 905713
     447 | 416243
     444 | 905265
     442 | 289521
     442 | 905232
     442 | 905353
     439 | 416503
     438 | 905720
     434 | 905819
     433 | 905830
     432 | 289836
     431 | 416462
     431 | 905681
     428 | 905432
     427 | 705721
     426 | 905499
     422 | 416609
     420 | 905479
     419 | 905862
     415 | 416226
     415 | 905460
     415 | 905848
     412 | 519260
     411 | 416750
     411 | 905855
     407 | 416252
     405 | 905787
     404 | 416332
     404 | 519741
     404 | 705733
     402 | 905813
     401 | 905709
     399 | 905631
     396 | 705725
     393 | 416482
     385 | 416486
     383 | 416449
     377 | 416603
     376 | 905641
     376 | 905677
     375 | 416467
     373 | 416445
     371 | 905286
     370 | 519767
     369 | 519940
     368 | 416422
     367 | 519754
     366 | 416256
     359 | 519888
     356 | 416236
     356 | 705734
     353 | 416733
     353 | 519219
     353 | 905887
     352 | 905707
     352 | 905771
     349 | 416932
     348 | 905738
     348 | 905896
     347 | 416657
     345 | 416855
     345 | 905625
     344 | 647350
     343 | 905526
     342 | 416696
     341 | 416695
     339 | 416412
     338 | 416760
     333 | 905312
     333 | 905916
     331 | 416484
     327 | 289238
     323 | 905333
     322 | 905672
     320 | 705730
     320 | 905543
     319 | 519651
     319 | 905470
     319 | 905523
     317 | 416530
     316 | 519725
     314 | 905984
     309 | 416502
     307 | 416391
     307 | 905501
     307 | 905565
     304 | 905608
     303 | 519895
     303 | 905687
     302 | 905281
     302 | 905337
     302 | 905673
     301 | 416406
     301 | 905326
     300 | 905273
     297 | 416496
     297 | 905624
     295 | 519766
     292 | 905477
     290 | 705329
     290 | 905433
     290 | 905669
     289 | 905488
     289 | 905671
     289 | 905988
     288 | 905494
     287 | 416756
     287 | 905404
     287 | 905678
     286 | 905696
     284 | 905297
     282 | 416512
     278 | 905940
     277 | 416250
     276 | 416661
     276 | 416929
     275 | 519880
     275 | 905315
     275 | 905524
     273 | 905564
     271 | 905949
     270 | 416922
     269 | 416208
     269 | 905296
     269 | 905539
     267 | 647726
     267 | 905475
     266 | 905897
     264 | 905438
     261 | 416240
     261 | 416925
     260 | 416224
     259 | 905566
     257 | 416913
     257 | 905313
     256 | 519927
     255 | 905880
     253 | 416703
     252 | 416229
     252 | 416490
     251 | 519584
     251 | 905670
     250 | 519780
     250 | 905513
     244 | 416234
     244 | 416322
     244 | 519750
     243 | 519533
     242 | 416631
     241 | 905487
     240 | 905761
     238 | 519585
     237 | 519302
     236 | 416620
     231 | 905548
     230 | 519770
     228 | 416663
     228 | 416784
     224 | 416441
     223 | 905743
     222 | 416921
     220 | 416850
     215 | 416665
     215 | 519938
     215 | 905795
     214 | 519342
     214 | 905521
     212 | 416385
     211 | 905339
     207 | 519826
     205 | 416203
     204 | 705797
     200 | 416201
     199 | 416924
     199 | 705727
     198 | 905751
     197 | 416443
     197 | 519720
     197 | 519829
     196 | 289725
     196 | 416495
     194 | 416246
     194 | 905954
     192 | 905415
     191 | 905620
     191 | 905769
     191 | 905816
     190 | 519279
     189 | 416232
     188 | 647827
     186 | 416288
     186 | 416510
     186 | 416780
     186 | 905660
     186 | 905868
     184 | 416504
     182 | 416920
     182 | 416944
     182 | 519883
     181 | 647439
     181 | 647729
     180 | 416238
     179 | 416539
     179 | 519827
     179 | 905629
     178 | 416701
     178 | 519249
     178 | 519757
     178 | 905860
     177 | 647727
     176 | 416615
     176 | 905762
     174 | 416964
     171 | 416916
     171 | 519536
     170 | 905381
     169 | 905633
     168 | 416674
     167 | 416446
     167 | 416736
     165 | 519568
     165 | 905815
     164 | 519220
     164 | 519569
     163 | 416235
     162 | 416237
     162 | 416424
     161 | 905474
     160 | 416227
     160 | 905927
     158 | 416730
     157 | 416761
     156 | 905704
     156 | 905760
     155 | 905946
     154 | 905615
     153 | 416410
     153 | 905676
     152 | 519654
     152 | 905944
     151 | 416923
     151 | 905223
     150 | 647436
     149 | 905602
     148 | 905284
     147 | 416480
     147 | 905306
     146 | 647435
     146 | 905233
     144 | 905290
     143 | 289284
     143 | 647725
     143 | 905817
     142 | 416544
     142 | 416966
     142 | 905403
     142 | 905448
     142 | 905947
     138 | 416590
     138 | 905755
     136 | 905593
     135 | 416675
     135 | 905804
     133 | 416927
     133 | 905435
     132 | 416364
     132 | 905238
     132 | 905803
     131 | 905612
     130 | 905405
     129 | 905861
     128 | 647438
     128 | 905202
     127 | 416386
     127 | 416798
     126 | 905967
     124 | 416207
     124 | 905308
     122 | 289649
     122 | 519805
     121 | 905421
     121 | 905948
     120 | 647430
     119 | 416739
     119 | 905305
     118 | 416962
     116 | 416928
     116 | 905901
     113 | 905218
     112 | 416961
     110 | 905552
     109 | 416679
     109 | 647728
     109 | 905231
     109 | 905892
     108 | 416915
     107 | 416667
     105 | 519341
     103 | 289755
     102 | 416650
     102 | 416972
     101 | 416977
     100 | 905689
      99 | 905500
      98 | 905463
      97 | 416368
      97 | 905866
      94 | 416521
      93 | 905540
      92 | 289426
      91 | 416440
      91 | 416926
      91 | 416960
      89 | 416773
      89 | 905204
      89 | 905398
      89 | 905444
      89 | 905592
      86 | 289554
      86 | 905679
      85 | 289313
      84 | 416213
      84 | 416323
      83 | 289404
      83 | 519804
      83 | 905395
      83 | 905572
      83 | 905910
      82 | 416963
      82 | 519943
      82 | 705812
      82 | 905424
      80 | 905285
      80 | 905715
      79 | 905661
      77 | 416363
      77 | 416967
      77 | 905943
      76 | 416979
      75 | 416430
      74 | 905282
      74 | 905346
      74 | 905766
      73 | 705323
      73 | 905690
      72 | 905461
      72 | 905577
      72 | 905888
      71 | 905384
      71 | 905972
      70 | 416545
      70 | 519581
      70 | 647748
      69 | 905482
      69 | 905747
      69 | 905918
      69 | 905952
      68 | 416840
      67 | 416593
      67 | 905228
      64 | 416384
      64 | 519415
      63 | 416413
      63 | 705720
      62 | 416968
      61 | 416361
