8096  |  6235  |  613421
8007  |  6036  |  647344
7761  |  3509  |  416901
7687  |  4902  |  905230
7669  |  3332  |  519208
7644  |  4815  |  416519
7540  |  4750  |  416546
7498  |  0  |  416551
7430  |  5949  |  647343
7406  |  4092  |  613823
7171  |  3726  |  613680
7119  |  4502  |  613825
7090  |  5556  |  289232
7085  |  4404  |  647340
7074  |  5669  |  613422
7045  |  0  |  519735
7034  |  4192  |  905303
7022  |  0  |  705429
7021  |  0  |  226663
7017  |  0  |  416792
6911  |  3383  |  905417
6908  |  5362  |  647342
6855  |  4925  |  613824
6828  |  4084  |  905471
6806  |  5298  |  905216
6761  |  6064  |  647345
6739  |  2234  |  905892
6732  |  0  |  613389
6704  |  3964  |  647341
6630  |  3903  |  647349
6626  |  3321  |  905495
6582  |  4357  |  613623
6579  |  2131  |  647350
6561  |  0  |  519979
6552  |  4295  |  905877
6501  |  4104  |  905294
6495  |  3999  |  905257
6484  |  4189  |  905832
6482  |  3029  |  416686
6481  |  4270  |  613836
6440  |  3913  |  905824
6437  |  4413  |  613837
6436  |  3781  |  905846
6422  |  0  |  807767
6416  |  3990  |  905623
6412  |  4218  |  613830
6411  |  4142  |  613283
6400  |  3800  |  905476
6378  |  0  |  519204
6375  |  3025  |  905389
6365  |  4031  |  613834
6347  |  4109  |  613258
6342  |  3271  |  905773
6301  |  0  |  519633
6292  |  0  |  807577
6288  |  2884  |  905385
6286  |  3802  |  613841
6285  |  3616  |  905472
6258  |  5414  |  705252
6257  |  4128  |  905827
6237  |  4063  |  905728
6223  |  2852  |  905383
6200  |  2967  |  905388
6191  |  0  |  519471
6169  |  3731  |  905655
6102  |  0  |  705969
6091  |  0  |  519736
6086  |  0  |  519542
6083  |  3805  |  905725
6069  |  0  |  519472
6048  |  3806  |  613831
6027  |  3710  |  519753
6023  |  0  |  613392
5989  |  4025  |  905935
5975  |  3720  |  905576
5952  |  3709  |  905579
5924  |  4302  |  905648
5913  |  3910  |  905668
5897  |  3506  |  905840
5888  |  3900  |  905627
5888  |  3582  |  905723
5862  |  2743  |  905597
5846  |  0  |  613384
5843  |  4039  |  905934
5841  |  0  |  519631
5805  |  3534  |  519752
5797  |  0  |  905894
5793  |  0  |  519371
5792  |  0  |  705445
5782  |  3583  |  705326
5781  |  3877  |  519426
5781  |  3761  |  519539
5773  |  0  |  705687
5765  |  0  |  519473
5747  |  0  |  705549
5740  |  2770  |  905387
5688  |  3632  |  519623
5684  |  3521  |  519621
5678  |  0  |  519969
5671  |  3533  |  519821
5666  |  0  |  613354
5662  |  0  |  519326
5661  |  0  |  613476
5657  |  3151  |  905737
5651  |  0  |  705745
5650  |  0  |  905985
5648  |  3633  |  519824
5637  |  3718  |  905775
5637  |  0  |  905885
5631  |  3379  |  905794
5611  |  3363  |  905884
